program,description
Adapted Activities,"Adapted Activities offers recreation programs designed for people with a disability or special need. Options span arts (visual arts, young artist, dance, making music), fitness and movement (fitness, yoga, active8, multi-sport, basketball, boccia), social connection (social, social night, cooking and social), life skills (cooking, sensory discovery, ready set play, recreation), and virtual programming. Programs are structured to support participation at your own pace."
Arts,"Arts is all about making, moving, and creating. You can get hands-on with crafts (pottery, clay, crochet, embroidery, felting, jewellery, knitting, sewing, stained glass, wood), dance in almost any style (ballet to hip hop, ballroom to Bollywood, with recitals and caregiver options), or music—drums, guitar, keyboard, piano, and other instruments (cello, singing, ukulele, violin), from basics to performance. There's painting and drawing (portraiture, life, acrylic, oil, watercolour, Group of Seven–style), performing arts (creative writing, drama, improv, musical theatre, puppetry), pottery and sculpture (wheel, hand building, glazing), and visual arts (drawing, cartooning, photography, printmaking, open studio). Short workshops cover everything from sewing and beading to glass fusing and seasonal crafts. Lots of caregiver and family options so you can find the right fit."
CampTO,"CampTO is day camp for kids: games, arts and crafts, sports, new friends, and water play or swimming when weather and location allow. Adapted CampTO runs the same kind of fun for campers with a disability or special need (AIS membership required). CampTO Explore is the same full-day experience. Extended Hours gives supervised care before or after the main camp day. CampTO Plus adds a focus—basketball, cooking, crafts, dance, drawing, gymnastics, hockey, musical theatre, science, skating, or soccer—so kids can go deeper in one area while still getting the camp vibe."
Early Years & After School,"After school, the City offers organized activities—indoor and outdoor recreation, time with peers—until pick-up. For little ones, Early Years Play Programming includes gardening, composting, weather, insects and plants; recreation adventures and discovery (sing-alongs, games, arts and crafts, storytelling); recreation fun and play with a caregiver; and drop-in play for fun and connection. Supervised, structured, and caregiver-friendly where noted."
FitnessTO,"FitnessTO is your go-to for getting moving. Cardio covers high/low impact, strength and conditioning, kickboxing, rebounder, family fitness, HIIT, Osteo Fit, Step, Walk Fit, and yoga. Dance is Latin-inspired and Zumba-style (including Gold, toning, Afro/Soca, Bollywood), with a family option. Functional Fit builds strength for daily life (with a modified stream for mobility challenges). Low Impact is gentle—yoga, Gentle Fit, women's and chair options. Mind and Body brings together yoga, tai chi, meditation, Pilates, qigong, and some strength work (women's, with baby, with caregiver, chair options). Strength is weight training, mobility and strength (chair/walker friendly), pedal and strength, and full-body conditioning. You choose what works for you."
Hobbies and Interests,"Hobbies is for learning, playing, and connecting. Cards and Games (bridge, chess, billiards, board games, D&D), Clubs (social, chess, walking, homework, reading, personal development), Cooking (baking, cake decorating, creative chefs, with caregiver options), Gardening, Learning (e.g. hair braiding, weaving), Nature, Science, Special Events (seasonal and one-off), Technology, and short Workshops (coding, baking, gift making). From chill to strategic, drop-in to series—there's something for everyone."
Leadership,"Leadership gets you ready to lead and work. Aquatic Leadership is the path to aquatics and lifeguarding: WaterArt certification (shallow/deep, recerts, specialties), Aquatic Supervisor, Bronze Cross, Bronze Medallion, Bronze Star, first aid, challenge exams, examiner course—with Standard First Aid CPR-C needed for City employment. Leadership and Employment Readiness offers workshops, youth council, and youth leadership programs so you're set for what's next."
Music,"Music covers hands-on instrument instruction—piano, keyboard, guitar, and drums, plus other instruments and voice—from first lessons through more advanced technique. Private and small-group formats, with options for kids, teens, and adults."
Skate & Ski,"Skate & Ski covers everything on ice and snow. Learn to skate at any age (balance, glides, stopping, crossovers, power skating; women's and older-adult options). Adult and child ski and snowboard 1–3, with or without rental; intro sessions for first-timers; private ski with rental; ski and snowboard instructor prep; and ski race. Hockey skills, goalie skills, house league prep, and Home Ice (ParaSport). Ski and snowboard with a caregiver for 3–5-year-olds. Whatever your level or goal, there's a path."
Sports,"Sports is about playing and improving. You've got adventure (flag football, lacrosse, skateboarding), badminton, ball hockey (including HDA), basketball, cricket, dodgeball, golf (First Tee), gymnastics (cheerleading, tumbling, rhythmic), martial arts (karate, hapkido, self defence, tae kwon do), multi-sport and open gym, pickleball, soccer, tennis and table tennis (including Philpott), and volleyball. Instructional or recreational, house league or drop-in, with options for boys, girls, family, and caregiver. Learn the skills and get in the game."
Swim,"Swim runs the full range: learn-to-swim, stroke improvement, and competitive. Adapted Swim for people with a disability or special need. Adult and older adult 1–3 (men's, women's, small group). Guardian Swim with a caregiver in the water. Preschool (Penguin, Stingray, Otter, Dolphin) and Tiny Tots. Private and semi-private lessons. Stroke improvement, Challenge Swim (bronze/silver/gold), and Swim Fit. Ultra Swim 1–9 (the main progression from first splash to 400 m and rescues) and Youth Ultra 1–3. Pre-Lifeguard (Future Lifeguards, Junior Lifeguard Club, Rookie/Ranger/Star Patrol). Aquatic Sport and Competitive for those ready for meets. Prerequisites and options (e.g. small group, girls) are spelled out so you can find the right level."
